feature_name,feature_type,processing
airline_code,categorical,StringIndexer; LinearSVC/NaiveBayes use OneHotEncoder
origin,categorical,StringIndexer; LinearSVC/NaiveBayes use OneHotEncoder
dest,categorical,StringIndexer; LinearSVC/NaiveBayes use OneHotEncoder
fl_number,numeric,passed as double in assembler
distance_km,numeric,cast from distance column after filtering null routes in Spark
month,numeric,month from flight timestamp derived from fl_date epoch ms
day_of_week,numeric,Spark dayofweek from flight timestamp
crs_dep_time,numeric,scheduled departure time (scaled HHMM-style integer)
crs_arr_time,numeric,scheduled arrival time (scaled HHMM-style integer)
